fit_time,score_time,test_neg_mean_squared_error,test_neg_mean_absolute_error,test_neg_root_mean_squared_error,test_neg_mean_absolute_percentage_error
0,23.365941286087036,2.4986956119537354,-107.55474765929934,-8.029176275287266,-10.37086050717583,-1.5650010776039544e+16
1,23.4471378326416,2.5544886589050293,-109.60176920647046,-8.14558807883084,-10.469086359681558,-1.5897192553097004e+16
2,23.23431158065796,2.6233327388763428,-110.17251095831719,-8.155235190243765,-10.496309397036521,-1.6160486864712748e+16
3,24.378501653671265,2.745946168899536,-112.48581758671772,-8.14793970399041,-10.605933131352362,-1.583624750796232e+16
4,25.422321557998657,2.6567859649658203,-108.24537611180712,-8.106682355386868,-10.404103811083736,-1.5881413191439126e+16
5,23.736593008041382,2.5413975715637207,-110.3284693617539,-8.109353772645626,-10.5037359716319,-1.5641542331442494e+16
6,23.60503602027893,2.480701208114624,-108.33313161577254,-8.146838720613403,-10.408320307127973,-1.568207278919018e+16
7,23.52394723892212,2.662745714187622,-107.5688488849806,-8.099965661046456,-10.371540333286113,-1.5677148879403996e+16
8,23.595387935638428,2.7329137325286865,-110.30000456447586,-8.197648730972746,-10.502380899799618,-1.5601731219098184e+16
9,23.837090253829956,2.5680277347564697,-108.05040122620484,-8.104664401311975,-10.394729492690267,-1.5582175729657048e+16
10,23.67566990852356,2.421065092086792,-109.8972776695506,-8.135406092037279,-10.48319024293419,-1.579279779255073e+16
11,24.721506118774414,2.4731478691101074,-108.94590013460184,-8.155718199341651,-10.437715273689058,-1.615894128704478e+16
12,23.63262438774109,2.7273762226104736,-109.07675311437035,-8.085663413020624,-10.44398166957269,-1.5634343856319266e+16
13,23.66508436203003,2.5442662239074707,-110.11041396801531,-8.106857132635138,-10.493350940858468,-1.5927171006961784e+16
14,23.513453245162964,2.423565626144409,-109.39337670658614,-8.130184226214068,-10.459128869393767,-1.5421048568109032e+16
15,24.715274810791016,2.681147575378418,-110.19706891051658,-8.175680348381382,-10.497479169329967,-1.607831580212561e+16
16,24.121978521347046,2.457946538925171,-106.05612281965422,-8.004812336923363,-10.298355345376962,-1.5602872085592452e+16
17,24.867375373840332,2.599994421005249,-111.54730503399414,-8.309909856595194,-10.56159576172058,-1.5996044798146054e+16
18,24.37301230430603,2.442986249923706,-109.6432669731476,-8.10412710246607,-10.47106809132419,-1.5535617319093466e+16
19,24.102972507476807,2.5000557899475098,-108.12606664233975,-8.050608749426264,-10.398368460597064,-1.5413985960216896e+16
20,24.378196716308594,2.5026257038116455,-110.02855117205479,-8.175852090034756,-10.48944951711265,-1.627322578398789e+16
21,24.92319416999817,2.6282713413238525,-108.9532290593663,-8.117573576164213,-10.438066346760127,-1.5640158371971624e+16
22,24.41983127593994,2.389155149459839,-109.71326229215067,-8.11289692972116,-10.474409877990773,-1.5852269201433486e+16
23,24.11211109161377,2.660313367843628,-112.61035665586374,-8.206912843285673,-10.611802705283573,-1.583618746509928e+16
24,23.502943754196167,2.433675527572632,-109.96628598019733,-8.135469001145731,-10.486481105699726,-1.5866955705713442e+16
25,23.7094943523407,2.6166086196899414,-109.12070221850774,-8.095361003473874,-10.446085497376888,-1.5518708886293452e+16
26,24.33463716506958,2.773458480834961,-106.04569885348042,-8.02641147847725,-10.297849234353764,-1.5683720621611756e+16
27,27.37373399734497,3.0368406772613525,-106.46463535596683,-8.02755920314178,-10.318170155408701,-1.5346538957672436e+16
28,24.750704765319824,2.659925937652588,-110.63138385088527,-8.179965371486487,-10.51814545682295,-1.548595861063784e+16
29,23.11824107170105,2.61519718170166,-108.41359202011641,-8.13499210198578,-10.412184786110762,-1.5996939585689728e+16
