fit_time,score_time,test_neg_mean_squared_error,test_neg_mean_absolute_error,test_neg_root_mean_squared_error,test_neg_mean_absolute_percentage_error
0,"[23.31217003 22.87612677 22.98340106 23.18847227 23.03261805 23.13576341
 22.94630599 23.22194624 23.00674009 23.24600577 22.94369793 23.12070298
 23.19386411 22.95265245 23.13001943 23.37081361 23.35664725 23.33242965
 23.01650786 23.17577648 22.98445892 22.7440598  23.06700587 22.86828613
 23.137918   23.15035367 23.21088338 23.07673335 23.52726603 22.97774816]","[2.39573789 2.39321423 2.45576358 2.41404271 2.42368102 2.48361349
 2.42835951 2.4255228  2.39379978 2.44124293 2.34131432 2.44136429
 2.46742821 2.43291187 2.5163064  2.41199398 2.43799424 2.42582607
 2.55955458 2.45248747 2.38103914 2.33272099 2.36444426 2.43977809
 2.39498472 2.46463513 2.67644668 2.51410842 2.40402651 2.49342656]","[-108.49431021 -110.61168466 -111.53383818 -113.30803168 -109.09365947
 -111.28489179 -109.145768   -108.40555372 -111.44341872 -109.26290875
 -111.14131079 -109.95433666 -109.78203269 -111.48164882 -110.94885335
 -110.99180995 -107.58120108 -112.00757092 -110.55614267 -108.75209127
 -110.46188698 -109.89674199 -110.72191043 -114.16194363 -111.4152434
 -110.28912736 -107.10256193 -107.46256505 -111.58280338 -109.12242606]","[-8.06817501 -8.17693349 -8.19014869 -8.15409224 -8.13321817 -8.13859754
 -8.17617429 -8.12287013 -8.22027724 -8.1452798  -8.19371583 -8.17498017
 -8.09799797 -8.1582849  -8.17460062 -8.19001453 -8.06008736 -8.30706091
 -8.13637848 -8.05109423 -8.18603004 -8.13325385 -8.11984207 -8.24921272
 -8.18995659 -8.13076865 -8.0594058  -8.0688655  -8.2070079  -8.15264934]","[-10.41606021 -10.51720898 -10.5609582  -10.64462454 -10.44479102
 -10.54916545 -10.4472852  -10.41179877 -10.5566765  -10.45288997
 -10.54235793 -10.48591134 -10.47769215 -10.55848705 -10.53322616
 -10.53526506 -10.3721358  -10.58336293 -10.51456812 -10.42842708
 -10.51008501 -10.48316469 -10.52244793 -10.68465927 -10.55534194
 -10.50186304 -10.34903676 -10.36641525 -10.56327617 -10.44616801]","[-1.58074777e+16 -1.59583502e+16 -1.62952660e+16 -1.58353163e+16
 -1.59189731e+16 -1.57115039e+16 -1.58083010e+16 -1.56887334e+16
 -1.56536362e+16 -1.56805217e+16 -1.58478281e+16 -1.62374455e+16
 -1.56896699e+16 -1.60827038e+16 -1.55479387e+16 -1.61316401e+16
 -1.57392305e+16 -1.59923410e+16 -1.56513873e+16 -1.54448207e+16
 -1.62524896e+16 -1.56312933e+16 -1.58140937e+16 -1.59303695e+16
 -1.59737666e+16 -1.56539025e+16 -1.58577339e+16 -1.54858546e+16
 -1.55655227e+16 -1.61264658e+16]"
1,"[184.17188072 181.87389898 183.23525953 181.41604447 183.79220462
 181.81160212 182.78869009 185.10572433 181.91841698 183.11112833
 185.24576545 182.64797926 182.33369017 182.2705245  182.30275512
 182.20693421 183.25964594 182.77097487 181.95423317 183.11413693
 184.24531341 182.80341649 184.02730656 182.11179161 182.85850024
 181.5107162  183.07609177 183.40547371 183.30967283 181.58079123]","[2.51340675 2.51233101 2.54115224 2.526577   2.53253293 2.56990576
 2.53978944 2.51173925 2.55617929 2.49250579 2.43865466 2.5775888
 2.51000237 2.51536274 2.56846189 2.48665047 2.50593972 2.69439745
 2.61369276 2.5253861  2.44834518 2.43920374 2.49339724 2.49926448
 2.48622942 2.5546968  2.56115246 2.53654575 2.49543381 2.50495815]","[-86.00159129 -83.7345231  -87.11106676 -84.61361517 -86.34677331
 -81.90330962 -83.24414358 -82.68973535 -86.37786491 -79.98805645
 -82.40607316 -83.71873455 -84.47870764 -84.70169694 -86.45528194
 -85.31880895 -81.28983016 -86.43441687 -81.25526772 -86.39377246
 -83.46731456 -84.15709574 -88.60500777 -85.65626151 -80.71011352
 -86.08302268 -79.85916322 -80.79827565 -86.90411821 -83.90065382]","[-6.61041615 -6.51032963 -6.65993887 -6.4676987  -6.59827475 -6.38418131
 -6.59774182 -6.5530466  -6.67625286 -6.49749547 -6.50339234 -6.57562697
 -6.45132623 -6.45815064 -6.6275666  -6.66105649 -6.46527715 -6.72911512
 -6.43435352 -6.62731856 -6.53464288 -6.55770333 -6.66490637 -6.58000461
 -6.39178922 -6.59597419 -6.44165124 -6.46095095 -6.67271617 -6.63890168]","[-9.27370429 -9.15065698 -9.33333096 -9.19856593 -9.29229645 -9.05004473
 -9.12382286 -9.09338965 -9.29396928 -8.94360422 -9.07777909 -9.14979424
 -9.19122993 -9.20335248 -9.29813325 -9.23681812 -9.0160873  -9.29701118
 -9.01417038 -9.29482504 -9.1360448  -9.17371766 -9.41302331 -9.2550668
 -8.98388076 -9.2780937  -8.93639543 -8.98878611 -9.32223783 -9.15973001]","[-1.15002288e+16 -1.14851998e+16 -1.19969691e+16 -1.10966686e+16
 -1.15818589e+16 -1.10516088e+16 -1.15474451e+16 -1.12761765e+16
 -1.14208040e+16 -1.14647795e+16 -1.13888800e+16 -1.18779606e+16
 -1.11033827e+16 -1.12379678e+16 -1.13592184e+16 -1.19424090e+16
 -1.13144325e+16 -1.15719937e+16 -1.10854571e+16 -1.14542942e+16
 -1.13545999e+16 -1.16409494e+16 -1.16500720e+16 -1.13890867e+16
 -1.12631145e+16 -1.14949584e+16 -1.13004385e+16 -1.10205715e+16
 -1.14654310e+16 -1.20265185e+16]"
2,"[26.60852504 26.21532035 26.47873473 26.57539272 26.73300552 26.56324744
 26.37718916 26.81503439 26.28164077 26.52442837 26.39917374 26.49887681
 26.47903061 26.50936222 26.64579177 26.5947547  26.49414015 26.47807765
 26.4521606  26.51259065 26.60008311 26.18449497 26.5833745  26.33582544
 27.19260669 26.73742199 26.51539731 26.27921581 26.96606565 26.37729788]","[2.34957719 2.41476274 2.45127535 2.39384937 2.41399193 2.51357102
 2.39133263 2.44062853 2.45899868 2.42272639 2.35584521 2.42404056
 2.45069551 2.4237752  2.43234682 2.39186478 2.36883545 2.38778496
 2.42799091 2.49424529 2.36171293 2.33981133 2.46863699 2.41076994
 2.46703005 2.46241307 2.46365952 2.43257165 2.45976377 2.48360062]","[-108.16637772 -110.26080414 -111.59474396 -110.98180477 -108.13356533
 -109.24893017 -108.57693694 -107.00834176 -109.53514713 -107.78149059
 -109.51566727 -107.50504971 -107.19639774 -108.94562723 -111.19602597
 -109.48543673 -107.17615803 -111.26795712 -109.68342525 -109.77642641
 -108.44051576 -109.11180274 -109.15658357 -111.91337501 -108.59801888
 -110.92706082 -107.0701591  -107.61190014 -110.23830975 -108.78985113]","[-8.33211766 -8.42862331 -8.46510685 -8.34196127 -8.33477414 -8.29042575
 -8.39836906 -8.30013502 -8.3787841  -8.34641299 -8.36047815 -8.31884246
 -8.29414841 -8.28880011 -8.42631757 -8.36007046 -8.33206138 -8.51352601
 -8.38694097 -8.36185884 -8.33156931 -8.37279333 -8.34614456 -8.37916238
 -8.33807367 -8.40067429 -8.30524582 -8.3499772  -8.37299411 -8.42041783]","[-10.40030662 -10.50051447 -10.56384134 -10.53479021 -10.39872902
 -10.4522213  -10.42002576 -10.34448364 -10.46590403 -10.38178648
 -10.46497335 -10.36846419 -10.35356932 -10.4377022  -10.54495263
 -10.46352889 -10.35259185 -10.54836277 -10.4729855  -10.47742461
 -10.4134776  -10.44565952 -10.44780281 -10.57891181 -10.42103732
 -10.53219164 -10.34747115 -10.37361558 -10.49944331 -10.43023735]","[-1.64486582e+16 -1.65790926e+16 -1.67739479e+16 -1.63865028e+16
 -1.64599485e+16 -1.61086568e+16 -1.63583929e+16 -1.61328042e+16
 -1.60498171e+16 -1.62766830e+16 -1.62832762e+16 -1.63952354e+16
 -1.63468646e+16 -1.64544841e+16 -1.62703686e+16 -1.64575170e+16
 -1.63636557e+16 -1.64337113e+16 -1.62719039e+16 -1.62754576e+16
 -1.63829369e+16 -1.63962289e+16 -1.63901400e+16 -1.61505650e+16
 -1.63153660e+16 -1.64351786e+16 -1.63463949e+16 -1.61686190e+16
 -1.61946494e+16 -1.67351417e+16]"
3,"[23.16475582 22.7926805  22.93663216 22.93328881 22.88437319 23.23264599
 22.99699402 23.14405131 22.94971824 22.99874949 22.79769063 22.84459472
 23.15992665 23.06810951 23.29801726 23.32668781 22.89524341 23.21195889
 22.84939504 23.04674745 23.08613276 22.79269838 22.96867132 22.85123992
 23.17712665 23.058079   22.99776387 23.17093658 23.57290363 23.26942801]","[2.38842654 2.43095541 2.47525644 2.38921618 2.47515321 2.52927876
 2.4076457  2.41802168 2.39898324 2.40837026 2.42015219 2.43225551
 2.5770061  2.42758274 2.4701159  2.39988065 2.391711   2.43723941
 2.44837332 2.41624737 2.40363383 2.33879519 2.33244658 2.45524502
 2.43292379 2.42445326 2.48479819 2.48598742 2.41301608 2.43125772]","[-108.49431021 -110.61168466 -111.53383818 -113.30803168 -109.09365947
 -111.28489179 -109.145768   -108.40555372 -111.44341872 -109.26290875
 -111.14131079 -109.95433666 -109.78203269 -111.48164882 -110.94885335
 -110.99180995 -107.58120108 -112.00757092 -110.55614267 -108.75209127
 -110.46188698 -109.89674199 -110.72191043 -114.16194363 -111.4152434
 -110.28912736 -107.10256193 -107.46256505 -111.58280338 -109.12242606]","[-8.06817501 -8.17693349 -8.19014869 -8.15409224 -8.13321817 -8.13859754
 -8.17617429 -8.12287013 -8.22027724 -8.1452798  -8.19371583 -8.17498017
 -8.09799797 -8.1582849  -8.17460062 -8.19001453 -8.06008736 -8.30706091
 -8.13637848 -8.05109423 -8.18603004 -8.13325385 -8.11984207 -8.24921272
 -8.18995659 -8.13076865 -8.0594058  -8.0688655  -8.2070079  -8.15264934]","[-10.41606021 -10.51720898 -10.5609582  -10.64462454 -10.44479102
 -10.54916545 -10.4472852  -10.41179877 -10.5566765  -10.45288997
 -10.54235793 -10.48591134 -10.47769215 -10.55848705 -10.53322616
 -10.53526506 -10.3721358  -10.58336293 -10.51456812 -10.42842708
 -10.51008501 -10.48316469 -10.52244793 -10.68465927 -10.55534194
 -10.50186304 -10.34903676 -10.36641525 -10.56327617 -10.44616801]","[-1.58074777e+16 -1.59583502e+16 -1.62952660e+16 -1.58353163e+16
 -1.59189731e+16 -1.57115039e+16 -1.58083010e+16 -1.56887334e+16
 -1.56536362e+16 -1.56805217e+16 -1.58478281e+16 -1.62374455e+16
 -1.56896699e+16 -1.60827038e+16 -1.55479387e+16 -1.61316401e+16
 -1.57392305e+16 -1.59923410e+16 -1.56513873e+16 -1.54448207e+16
 -1.62524896e+16 -1.56312933e+16 -1.58140937e+16 -1.59303695e+16
 -1.59737666e+16 -1.56539025e+16 -1.58577339e+16 -1.54858546e+16
 -1.55655227e+16 -1.61264658e+16]"
