fit_time,score_time,test_neg_mean_squared_error,test_neg_mean_absolute_error,test_neg_root_mean_squared_error,test_neg_mean_absolute_percentage_error
0,24.58894920349121,2.417170286178589,-108.49424907259666,-8.06817775743262,-10.416057270992544,-1.5807496679445846e+16
1,23.622843027114868,2.444658041000366,-110.61158884997772,-8.176922340792908,-10.517204421802294,-1.5958369129635654e+16
2,25.10600471496582,2.6390624046325684,-111.53315200178386,-8.190128291368573,-10.560925717084837,-1.629530271873511e+16
3,24.220306873321533,2.5718414783477783,-113.30799973779474,-8.15408925587817,-10.644623043480438,-1.5835335013739464e+16
4,23.731637716293335,2.3921096324920654,-109.09366868303168,-8.133217479532137,-10.444791461921664,-1.5918985218895726e+16
5,23.874253511428833,2.436929702758789,-111.28468053389133,-8.138583389854153,-10.549155441735198,-1.5711492357868084e+16
6,23.855626583099365,2.4639291763305664,-109.14579257548895,-8.176178583380786,-10.447286373766584,-1.5808355304908918e+16
7,24.23801064491272,2.442462921142578,-108.40550456737287,-8.122862214233308,-10.41179641403792,-1.5688761702180116e+16
8,23.67146348953247,2.6882762908935547,-111.44314666039237,-8.220253253434015,-10.55666361405877,-1.5653520844127772e+16
9,23.95587968826294,2.5493388175964355,-109.26295128203604,-8.145263228871881,-10.452892005662168,-1.568049890783313e+16
10,24.377631664276123,2.444657802581787,-111.1410731163988,-8.193709271133981,-10.542346660796106,-1.5847849279748322e+16
11,24.32246994972229,2.4886903762817383,-109.95420241917996,-8.174973559743806,-10.485904940403568,-1.6237450925204596e+16
12,23.60663676261902,2.65798020362854,-109.78173598878709,-8.097979361135396,-10.47767798650002,-1.5689659398310398e+16
13,24.508078813552856,2.410132884979248,-111.48182625153197,-8.158288908464463,-10.55849545397127,-1.6082727871087156e+16
14,23.78440546989441,2.5048296451568604,-110.94864240379518,-8.174597987977991,-10.533216147207613,-1.5547960491766276e+16
15,25.80836582183838,2.3627307415008545,-110.99186302945607,-8.190013653126313,-10.5352675822428,-1.6131677582562324e+16
16,24.129837036132812,2.6276426315307617,-107.5807532907826,-8.060063825384315,-10.372114215085688,-1.5739229139350304e+16
17,24.92755103111267,2.67679762840271,-112.00755621478919,-8.307057223248993,-10.58336223582984,-1.599233419628232e+16
18,26.085551738739014,2.5108938217163086,-110.55601760431549,-8.136366796698034,-10.514562168931024,-1.5651364049327204e+16
19,25.524758338928223,2.6210339069366455,-108.7520799341841,-8.051087994250985,-10.428426532041355,-1.5444842694505118e+16
20,24.01192617416382,2.472395658493042,-110.46186718283421,-8.186030637964231,-10.510084071159193,-1.6252566510166448e+16
21,24.054099082946777,2.600916624069214,-109.89659443008273,-8.133246256377783,-10.48315765550069,-1.5631296225482274e+16
22,24.786263942718506,2.6221256256103516,-110.72087563546039,-8.11981426009694,-10.522398758622503,-1.5814003335953262e+16
23,22.985944271087646,2.4620144367218018,-114.16196035327523,-8.249201886148612,-10.684660048559113,-1.5930349164156214e+16
24,23.04016923904419,2.4301233291625977,-111.41471754358133,-8.189952916481268,-10.555317027147092,-1.5973763611128296e+16
25,22.82720923423767,2.446897029876709,-110.2892594545703,-8.130780978739235,-10.50186933143668,-1.5653941368509638e+16
26,23.701647758483887,2.572373867034912,-107.10271316378785,-8.05940438460755,-10.349044070047622,-1.5857790505214436e+16
27,23.54070210456848,2.433342695236206,-107.462769503206,-8.06886962346524,-10.36642510720094,-1.5485852029980876e+16
28,24.096237421035767,2.4462451934814453,-111.5824749223428,-8.206987123598248,-10.563260619824865,-1.5565529842033864e+16
29,23.59015965461731,2.491619348526001,-109.12235120589797,-8.152646560275256,-10.446164425563001,-1.6126462032100396e+16
